1915,
"10, 11",2019-05-22 13:10:00
"8, 9",2019-05-25 13:10:00
"6, 7",2019-05-28 13:20:00
"4, 5",2019-05-31 13:15:00
"2, 3",2019-06-03 13:20:00
1911,
"2, 3",2019-04-12 12:50:00
"4, 5",2019-04-14 12:30:00
"6, 7",2019-04-16 12:45:00
"8, 9",2019-04-18 12:45:00
"10, 11",2019-04-20 12:45:00
1910,
"10, 11",2019-04-09 12:30:00
"2, 3",2019-04-10 12:30:00
"4, 5",2019-04-22 12:40:00
"6, 7",2019-04-24 12:40:00
"8, 9",2019-04-26 13:15:00
1818,
2,2018-08-16 14:20:00
3,2018-08-16 14:20:00
4,2018-08-16 14:20:00
5,2018-08-16 14:20:00
6,2018-08-16 14:20:00
7,2018-08-16 14:20:00
8,2018-08-16 14:20:00
9,2018-08-16 14:20:00
10,2018-08-16 14:20:00
11,2018-08-16 14:20:00
1950,
"2, 3",2019-12-16 12:00:00
"4, 5",2019-12-17 12:00:00
"6, 7",2019-12-18 12:00:00
"8, 9",2019-12-19 12:00:00
"10, 11",2019-12-20 12:00:00
1919,
"2, 3",2019-07-04 13:00:00
"4, 5",2019-07-06 13:25:00
"6, 7",2019-07-08 13:20:00
"8, 9",2019-07-10 13:10:00
"10, 11",2019-07-12 13:10:00
1920,
"2, 3",2019-07-14 13:20:00
"4, 5",2019-07-16 13:45:00
"6, 7",2019-07-18 13:30:00
"8, 9",2019-07-20 13:30:00
"10, 11",2019-07-22 13:30:00
1825,
2,2018-10-28 22:30:00
3,2018-10-28 22:30:00
4,2018-10-28 22:30:00
5,2018-10-28 22:30:00
6,2018-10-28 22:30:00
7,2018-10-28 22:30:00
8,2018-10-28 22:30:00
9,2018-10-28 22:30:00
10,2018-10-28 22:30:00
11,2018-10-28 22:30:00
2003,
"10, 11",2020-01-28 13:45:00
"8, 9",2020-01-31 12:00:00
"6, 7",2020-02-03 13:10:00
"4, 5",2020-02-06 13:30:00
"2, 3",2020-02-09 20:40:00
1907,
"10, 11",2019-03-31 17:00:00
"2, 3",2019-04-01 17:00:00
"4, 5",2019-04-02 17:00:00
"6, 7",2019-04-03 17:00:00
"8, 9",2019-04-04 17:00:00
1908,
"10, 11",2019-04-07 13:00:00
"2, 3",2019-04-12 13:10:00
"4, 5",2019-04-14 13:00:00
"6, 7",2019-04-16 12:55:00
"8, 9",2019-04-18 12:55:00
1909,
2,2019-04-07 13:15:00
3,2019-04-07 13:15:00
4,2019-04-07 13:15:00
5,2019-04-07 13:15:00
6,2019-04-07 13:15:00
7,2019-04-07 13:15:00
8,2019-04-07 13:15:00
9,2019-04-07 13:15:00
10,2019-04-07 13:15:00
11,2019-04-07 13:15:00
